Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,245.979996,251.210007,245.949997,250.179993,235.136429,126925200
2019-01-03,248.229996,248.570007,243.669998,244.210007,229.525436,144140700
2019-01-04,247.589996,253.110001,247.169998,252.389999,237.213547,142628800
2019-01-07,252.690002,255.949997,251.690002,254.380005,239.083923,103139100
2019-01-08,256.820007,257.309998,254.000000,256.769989,241.330170,102512600
2019-01-09,257.559998,258.910004,256.190002,257.970001,242.458008,95006600
2019-01-10,256.260010,259.160004,255.500000,258.880005,243.313324,96823900
2019-01-11,257.679993,259.010010,257.029999,258.980011,243.407288,73858100
2019-01-14,256.859985,258.299988,256.410004,257.399994,241.922272,70908200
2019-01-15,257.820007,260.700012,257.809998,260.350006,244.694916,85208300
2019-01-16,260.829987,261.970001,260.600006,260.980011,245.287033,77636700
2019-01-17,260.010010,263.920013,259.959991,262.959991,247.147980,96118400
2019-01-18,264.980011,266.980011,263.000000,266.459991,250.437485,127900300
2019-01-22,264.820007,265.059998,261.059998,262.859985,247.053986,115531200
2019-01-23,264.010010,264.790009,260.660004,263.410004,247.570908,86030300
2019-01-24,263.209991,264.200012,262.079987,263.549988,247.702469,59204100
2019-01-25,265.609985,266.700012,263.660004,265.779999,249.798370,96883400
2019-01-28,263.390015,263.829987,261.790009,263.760010,247.899857,85613700
2019-01-29,263.920013,264.549988,262.480011,263.410004,247.570908,66136300
2019-01-30,265.100006,268.519989,264.250000,267.579987,251.490067,92473700
2019-01-31,267.510010,270.470001,267.269989,269.929993,253.698792,104012100
2019-02-01,270.149994,271.200012,269.179993,270.059998,253.821060,85782500
2019-02-04,270.109985,272.029999,269.359985,271.959991,255.606827,60744800
2019-02-05,272.440002,273.440002,271.880005,273.100006,256.678253,79552800
2019-02-06,272.790009,273.339996,271.920013,272.739990,256.339874,58347800
2019-02-07,270.940002,271.549988,268.290009,270.140015,253.896179,95482000
2019-02-08,268.750000,270.579987,267.829987,270.470001,254.206451,75788900
2019-02-11,271.200012,271.489990,270.029999,270.619995,254.347382,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,257.618164,72270200
2019-02-13,275.029999,275.929993,274.559998,274.989990,258.454529,65277200
2019-02-14,273.779999,275.640015,272.869995,274.380005,257.881287,83234400
2019-02-15,276.359985,277.410004,276.130005,277.369995,260.691559,97088700
2019-02-19,276.480011,278.579987,276.470001,277.850006,261.142609,59120800
2019-02-20,277.809998,278.920013,277.250000,278.410004,261.668976,76610800
2019-02-21,277.700012,278.100006,276.350006,277.420013,260.738464,64214700
2019-02-22,278.109985,279.359985,277.399994,279.140015,262.355072,78114600
2019-02-25,280.730011,281.309998,279.429993,279.519989,262.712158,69030700
2019-02-26,279.130005,280.299988,278.899994,279.320007,262.524261,56844100
2019-02-27,278.519989,279.589996,277.480011,279.200012,262.411469,56921600
2019-02-28,278.959991,279.450012,278.320007,278.679993,261.922668,69268300
2019-03-01,280.440002,280.880005,278.820007,280.420013,263.558105,78880500
2019-03-04,281.600006,281.869995,276.839996,279.399994,262.599426,106494600
2019-03-05,279.540009,279.760010,278.410004,279.019989,262.242249,59114600
2019-03-06,279.149994,279.160004,276.970001,277.329987,260.653900,75039800
2019-03-07,276.829987,276.989990,274.070007,275.010010,258.473358,94885100
2019-03-08,272.940002,274.649994,272.420013,274.459991,257.956451,85795800
2019-03-11,275.260010,278.619995,275.230011,278.440002,261.697174,65098900
2019-03-12,279.059998,280.070007,278.850006,279.489990,262.683990,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,264.422760,80639200
2019-03-14,281.369995,281.839996,280.670013,281.160004,264.253601,67518400
2019-03-15,280.540009,282.209991,280.329987,281.309998,265.559204,81309000
2019-03-18,281.549988,282.660004,281.299988,282.329987,266.522034,62199800
2019-03-19,283.510010,284.359985,281.410004,282.399994,266.588135,90268100
2019-03-20,282.160004,283.500000,280.320007,281.549988,265.785767,84609200
2019-03-21,280.640015,285.179993,280.589996,284.730011,268.787659,79550400
2019-03-22,283.220001,283.799988,279.179993,279.250000,263.614410,122659300
2019-03-25,278.869995,280.190002,277.640015,279.040009,263.416260,85575200
2019-03-26,280.989990,282.179993,279.559998,281.119995,265.379761,68125900
2019-03-27,281.109985,281.760010,277.929993,279.649994,263.992096,72224700
2019-03-28,280.350006,281.209991,279.070007,280.709991,264.992767,56238500
2019-03-29,282.390015,282.839996,281.140015,282.480011,266.663666,82186800
2019-04-01,284.700012,286.160004,284.399994,285.829987,269.826080,77617900
2019-04-02,286.040009,286.230011,285.089996,285.970001,269.958191,40070400
2019-04-03,287.320007,287.760010,285.750000,286.420013,270.383026,68243200
2019-04-04,286.779999,287.459991,286.010010,287.179993,271.100525,48997500
2019-04-05,287.920013,288.630005,287.600006,288.570007,272.412689,58621700
